企業情報_1_名前,企業情報_2_サイト,企業情報_3_求人サイト企業情報,連絡先_1_住所,連絡先_2,連絡先_3,連絡先_4
株式会社オーシャン,https://www.ocean.jpn.com,https://employment.en-japan.com/desc_1041463/?PK=DF2D28&arearoute=1,〒220-0011/神奈川県横浜市西区高島2-13-2　横浜駅前共同ビル4階,採用担当（村田・山崎・横山）,045-628-9555,
有限会社バーウェル,https://verwell.co.jp,https://employment.en-japan.com/desc_1042413/?PK=DF2D28&arearoute=1,【本社】/〒450-0003/愛知県名古屋市中村区名駅南2-11-44-5F,人事部,052-618-7162,
monoAI technology株式会社,https://monoai.co.jp,https://employment.en-japan.com/desc_1042744/?PK=DF2D28&arearoute=1,神戸本社：兵庫県神戸市中央区京町78番地 三宮京町ビル3階A号,人事部　加地,recruit_tester@morikatron.co.jp,
東京カラー印刷株式会社,http://www.tcpc.co.jp/,https://employment.en-japan.com/desc_1043184/?PK=DF2D28&arearoute=1,本社工場／〒120-0024　東京都足立区千住関屋町5-27,採用担当,03-5284-1173,
CJ FOODS JAPAN株式会社,https://cjfoodsjapan.net/,https://employment.en-japan.com/desc_1041503/?PK=DF2D28&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社ネットドリーマーズ,https://www.netdreamers.co.jp/,https://employment.en-japan.com/desc_1041633/?PK=DF2D28&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社大阪進研,http://www.o-shinken.co.jp/corporate/index.html,https://employment.en-japan.com/desc_1041840/?PK=DF2D28&arearoute=1,〒543-0011/大阪市天王寺区清水谷町20-9 千州ビル,採用担当,06-6762-4557,
株式会社ワールディング,https://www.worlding.asia/,https://employment.en-japan.com/desc_1042341/?PK=DF2D28&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　ワールディング採用事務局,sss-info@en-japan.com,
株式会社ロックオン,http://www.rock-on.co,https://employment.en-japan.com/desc_1042369/?PK=DF2D28&arearoute=1,＜本社＞/〒550-0011/大阪府大阪市西区阿波座1-7-12 東新ビル 402号室,採用担当,06-6643-9929,
株式会社出前館（東証JASDAQ上場）,http://www.yumenomachi.co.jp/,https://employment.en-japan.com/desc_1042416/?PK=DF2D28&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
