企業情報_1_名前,企業情報_2_サイト,企業情報_3_求人サイト企業情報,連絡先_1_住所,連絡先_2,連絡先_3,連絡先_4
有限会社香芝自動車学校,http://www.kashiba-ds.co.jp,https://employment.en-japan.com/desc_1041424/?PK=2CEB84&arearoute=1,〒639-0224/奈良県香芝市別所88-1,採用担当　西浦・瀧本,0120-14-0661,
株式会社セドナエンタープライズ,http://datsumo-labo.jp/,https://employment.en-japan.com/desc_1031872/?PK=2CEB84&arearoute=1,〒150-0012 /東京都渋谷区広尾1-1-39 恵比寿プライムスクエア8F,採用担当,0120-2626-14(求人専用フリ-ダイヤル),
株式会社マーブル,https://marble-sakaihigashi.jimdofree.com/,https://employment.en-japan.com/desc_1038490/?PK=2CEB84&arearoute=1,■放課後等デイサービス　マーブル堺東/〒590-0954/大阪府堺市堺区大町東1-2-26　音楽ビル2F,採用担当宛て,072-224-5077,
京葉興業株式会社,http://keiyo-kogyo.jp/,https://employment.en-japan.com/desc_1039689/?PK=2CEB84&arearoute=1,■ポピンズ京葉デイサービスなかやま/〒273-0035　千葉県船橋市本中山4-8-6,047-302-7001,,
キッズラボ株式会社,https://kids-lab.co.jp/,https://employment.en-japan.com/desc_1039840/?PK=2CEB84&arearoute=1,■本社/東京都豊島区南池袋3-9-8　H2ビルディング8階,採用担当,03-5955-1777,
医療法人社団洛和会,http://www.rakuwa.or.jp/employ/kaigo/,https://employment.en-japan.com/desc_1040080/?PK=2CEB84&arearoute=1,【介護事業部】/〒600-8461/京都市下京区仏光寺通油小路東入木賊山町171,介護事業部　人事採用課　坂田,0120-95-8008,
合同会社CROP,https://day.crop-cc.com/,https://employment.en-japan.com/desc_1041458/?PK=2CEB84&arearoute=1,【クラップ習志野校】/〒275-0011/千葉県習志野市大久保1丁目27-3,採用担当,047-409-9603,
株式会社リーディング.ラボ,,https://employment.en-japan.com/desc_1041565/?PK=2CEB84&arearoute=1,■本社/460-0003/愛知県名古屋市中区錦2-19-19 広小路センタープレイス5F,採用担当,052-228-9630,info.hoiku@leading-labo.jp
社会福祉法人江寿会,http://azalee.or.jp/,https://employment.en-japan.com/desc_1042261/?PK=2CEB84&arearoute=1,〒132-0021/東京都江戸川区中央1-8-21,採用担当,03-5607-0492,
プロジェクトリーズ株式会社,http://www.lead.gr.jp/,https://employment.en-japan.com/desc_1043036/?PK=2CEB84&arearoute=1,【本社】/岐阜県多治見市音羽町2-27 リード本社ビル,採用担当,0572-24-7771,
医療法人社団衿正会生駒病院,http://ikoma-hp.com/,https://employment.en-japan.com/desc_1037019/?PK=2CEB84&arearoute=1,〒666-0252　兵庫県川辺郡猪名川町広根字九十九8番地,採用担当,072-766-0172,
