企業情報_1_名前,企業情報_2_サイト,企業情報_3_求人サイト企業情報,連絡先_1_住所,連絡先_2,連絡先_3,連絡先_4
株式会社フルタイムシステム,https://www.fts.co.jp/,https://employment.en-japan.com/desc_1039123/?PK=DE2134&arearoute=1,＜東京本社＞/〒101-0032　/東京都千代田区岩本町2-10-1,採用担当／大栗,03-3851-5831,
株式会社リクルートR&Dスタッフィング,https://www.recruit-rds.co.jp/,https://employment.en-japan.com/desc_1039191/?PK=DE2134&arearoute=1,＜本社＞〒104-8001/東京都中央区銀座8-4-17 リクルートGINZA8ビル,採用担当,r-saiyou@recruit-rds.co.jp,
株式会社エスティック,http://www.estic.co.jp,https://employment.en-japan.com/desc_1039233/?PK=DE2134&arearoute=1,【本社・東郷事務所】/〒570-0041/大阪府守口市東郷通1丁目2番16号,採用担当,06-6993-8855,
西部電機株式会社（東証二部上場）,https://www.seibudenki.co.jp/,https://employment.en-japan.com/desc_1041557/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
住友電気工業株式会社（東証一部上場）,http://www.sei.co.jp/,https://employment.en-japan.com/desc_1042486/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
日本ガイシ株式会社（東証一部上場）,http://www.ngk.co.jp,https://employment.en-japan.com/desc_1042494/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
日本ガイシ株式会社（東証一部上場）,http://www.ngk.co.jp,https://employment.en-japan.com/desc_1042501/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
日本ガイシ株式会社（東証一部上場）,http://www.ngk.co.jp,https://employment.en-japan.com/desc_1042504/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社デンソーテン,https://www.denso-ten.com/jp/,https://employment.en-japan.com/desc_1042510/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社ダイヤ・エフ・エンジニアリング,http://www.daiya-f.jp,https://employment.en-japan.com/desc_1042597/?PK=DE2134&arearoute=1,【本社】/〒652-0861/兵庫県神戸市兵庫区三石通3-2-7,採用担当,078-651-4434,
株式会社寺岡精工,http://www.teraokaseiko.com/,https://employment.en-japan.com/desc_1042624/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
株式会社椿本チエイン（東証一部上場）,http://www.tsubakimoto.jp/,https://employment.en-japan.com/desc_1042634/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
TDK株式会社（東証一部上場）,https://www.tdk.co.jp/corp/ja/index.htm,https://employment.en-japan.com/desc_1042670/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
新コスモス電機株式会社（東証JASDAQ上場）,http://www.new-cosmos.co.jp/,https://employment.en-japan.com/desc_1042759/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
新コスモス電機株式会社（東証JASDAQ上場）,http://www.new-cosmos.co.jp/,https://employment.en-japan.com/desc_1042761/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
サンライズ工業株式会社,https://www.sunrise.gr.jp/index.html,https://employment.en-japan.com/desc_1042828/?PK=DE2134&arearoute=1,東京都新宿区西新宿6-5-1　新宿アイランドタワー,エン・ジャパン株式会社　エン エージェント,enagent-info@en-japan.com,
