s1_name,s2_a_url,s3_location
株式会社 NextNinja,https://www.green-japan.com/job/114237,東京都
エヌ・シー・ジャパン 株式会社,https://www.green-japan.com/job/116223,東京都
株式会社 gumi,https://www.green-japan.com/job/116253,東京都
株式会社 レンサ,https://www.green-japan.com/job/115921,東京都
株式会社 nana music,https://www.green-japan.com/job/115606,東京都
株式会社 Thirdverse,https://www.green-japan.com/job/51724,東京都
チームラボ 株式会社,https://www.green-japan.com/job/23152,東京都
株式会社 侍,https://www.green-japan.com/job/115945,埼玉県，千葉県，東京都，神奈川県
株式会社 CLOCK・ON,https://www.green-japan.com/job/61027,埼玉県，千葉県，東京都，神奈川県
株式会社 ネクストビート,https://www.green-japan.com/job/115969,東京都
株式会社 Colorful Palette,https://www.green-japan.com/job/101423,東京都
株式会社 アドア,https://www.green-japan.com/job/116160,東京都
株式会社 schoo,https://www.green-japan.com/job/114709,東京都
株式会社 aradas,https://www.green-japan.com/job/113225,大阪府
株式会社 SHIFT,https://www.green-japan.com/job/94556,福岡県
株式会社 Amazia,https://www.green-japan.com/job/114269,東京都
株式会社 スクウェア・エニックス,https://www.green-japan.com/job/114919,東京都
株式会社 エイシス,https://www.green-japan.com/job/115987,東京都
株式会社 マトリックス,https://www.green-japan.com/job/115838,東京都
株式会社 ＭＵＧＥＮＵＰ,https://www.green-japan.com/job/116137,東京都
株式会社 ミクシィ,https://www.green-japan.com/job/116170,東京都
株式会社 バンク・オブ・イノベーション,https://www.green-japan.com/job/115692,東京都
株式会社 サイトビジット,https://www.green-japan.com/job/109062,東京都
株式会社 マイベスト,https://www.green-japan.com/job/52710,東京都
株式会社 フェニシス,https://www.green-japan.com/job/115940,東京都
ZigZaGame 株式会社,https://www.green-japan.com/job/116112,東京都
アイティメディア 株式会社,https://www.green-japan.com/job/116124,東京都
株式会社 マジカント,https://www.green-japan.com/job/115621,東京都
株式会社 D2C R,https://www.green-japan.com/job/61849,東京都
and factory 株式会社,https://www.green-japan.com/job/115533,東京都
合同会社 インプリ,https://www.green-japan.com/job/64278,東京都
株式会社 コンテンツワン,https://www.green-japan.com/job/66370,東京都
株式会社 イープラス,https://www.green-japan.com/job/114890,東京都
株式会社 エクストリーム,https://www.green-japan.com/job/102314,東京都
株式会社 ソニックムーブ,https://www.green-japan.com/job/114036,東京都
株式会社 wevnal,https://www.green-japan.com/job/114875,東京都
株式会社 ゲームフリーク,https://www.green-japan.com/job/21943,東京都
株式会社 Candee,https://www.green-japan.com/job/114914,東京都
株式会社 フロンティア,https://www.green-japan.com/job/52295,東京都
17LIVE 株式会社,https://www.green-japan.com/job/64601,東京都
